GeneID,GrupoA_1,GrupoA_2,GrupoA_3,GrupoB_1,GrupoB_2,GrupoB_3,GrupoB_4
643837,209,460,323,1131,188,402,248
148398,190,183,237,288,120,158,145
26155,2150,2841,3640,2115,1826,2126,2515
339451,112,234,521,623,185,256,241
57801,591,231,175,40,78,103,1139
9636,6732,232,738,375,222,268,549
375790,7025,13310,11228,2814,3563,10828,5097
100288175,41,10,163,1,12,7,13
54991,217,389,442,428,243,233,343
51150,3779,9143,8550,11818,3231,4795,5802
126792,886,2526,1732,1734,501,1568,1512
118424,1390,2163,3027,3018,1099,1488,2070
6339,56,51,79,100,20,127,57
116983,694,1303,1726,2145,1246,2979,2540
126789,299,427,546,618,294,398,393
54973,1283,2294,3047,2422,1210,1283,1595
80772,502,1162,1148,1218,409,746,591
83756,14,20,20,43,12,23,18
1855,1140,2172,2012,3262,1295,1667,1636
54587,1236,125,106,1547,134,175,125
54998,2075,3144,3100,2906,1325,1681,3586
81669,1404,3098,3665,6177,1740,3850,1155
148413,499,673,1189,1099,452,554,742
55052,1320,2377,3141,2118,1256,1614,2589
64856,38,347,3809,1044,211,413,486
219293,101,128,126,130,62,77,101
83858,1017,1109,765,892,489,680,730
55210,1427,2316,2251,1961,1067,1249,1761
339453,15,97,190,240,44,65,39
29101,2550,5038,3412,3639,1390,2380,4838
142678,843,1734,1343,2081,718,1700,1233
8510,37,57,66,87,21,47,39
984,1314,2050,2308,2709,998,1260,1815
728661,1914,3828,2726,4713,1329,2901,1483
728642,898,1223,1529,1981,541,882,1229
65220,1338,2059,4128,3160,1927,1854,2107
2782,17120,19096,31961,38756,14478,21992,29858
105378949,13,19,37,12,11,16,45
5590,83,500,691,206,86,267,384
100506504,5,26,39,7,1,42,25
199990,1090,1745,2267,2346,861,1208,1783
6497,1803,4665,5090,7980,1583,4823,3887
79906,88,120,122,128,53,123,147
100129534,29,53,32,29,7,91,29
11079,3317,4018,5670,7110,1936,3776,4440
5192,899,1766,1888,2117,557,1737,2268
9651,36,32,6,11,3,11,20
55229,438,768,992,2110,769,906,787
388585,372,1,142,0,250,24,1108
8764,125,140,819,639,185,308,174
127281,510,1032,1944,1136,763,937,1842
79258,44,106,223,144,76,84,175
100287898,7,10,12,14,11,23,7
