GeneID	Symbol	EnsemblGeneID
100287102	DDX11L1	ENSG00000290825
102466751	MIR6859-1	ENSG00000278267
100302278	MIR1302-2	ENSG00000284332
645520	FAM138A	ENSG00000237613
79501	OR4F5	ENSG00000186092
729759	OR4F29	ENSG00000284733
101928626	LOC101928626	ENSG00000230021
81399	OR4F16	ENSG00000284662
400728	FAM87B	ENSG00000177757
643837	LINC01128	ENSG00000228794
107984850	LOC107984850	ENSG00000288531
284593	FAM41C	ENSG00000230368
100130417	LINC02593	ENSG00000223764
148398	SAMD11	ENSG00000187634
26155	NOC2L	ENSG00000188976
339451	KLHL17	ENSG00000187961
84069	PLEKHN1	ENSG00000187583
84808	PERM1	ENSG00000187642
57801	HES4	ENSG00000188290
9636	ISG15	ENSG00000187608
375790	AGRN	ENSG00000188157
100288175	LOC100288175	ENSG00000291156
401934	RNF223	ENSG00000237330
54991	C1orf159	ENSG00000131591
254099	LINC01342	ENSG00000223823
406984	MIR200B	ENSG00000207730
406983	MIR200A	ENSG00000207607
554210	MIR429	ENSG00000198976
100506376	TTLL10-AS1	ENSG00000205231
254173	TTLL10	ENSG00000162571
8784	TNFRSF18	ENSG00000186891
7293	TNFRSF4	ENSG00000186827
51150	SDF4	ENSG00000078808
126792	B3GALT6	ENSG00000176022
388581	C1QTNF12	ENSG00000184163
118424	UBE2J2	ENSG00000160087
6339	SCNN1D	ENSG00000162572
116983	ACAP3	ENSG00000131584
102465434	MIR6726	ENSG00000278073
126789	PUSL1	ENSG00000169972
54973	INTS11	ENSG00000127054
102465435	MIR6727	ENSG00000283712
80772	CPTP	ENSG00000224051
83756	TAS1R3	ENSG00000169962
1855	DVL1	ENSG00000107404
102466740	MIR6808	ENSG00000284372
54587	MXRA8	ENSG00000162576
54998	AURKAIP1	ENSG00000175756
81669	CCNL2	ENSG00000221978
148413	MRPL20-AS1	ENSG00000224870
55052	MRPL20	ENSG00000242485
441869	ANKRD65	ENSG00000235098
643965	TMEM88B	ENSG00000205116
64856	VWA1	ENSG00000179403
219293	ATAD3C	ENSG00000215915
83858	ATAD3B	ENSG00000160072
55210	ATAD3A	ENSG00000197785
339453	TMEM240	ENSG00000205090
29101	SSU72	ENSG00000160075
643988	FNDC10	ENSG00000228594
142678	MIB2	ENSG00000197530
8510	MMP23B	ENSG00000189409
984	CDK11B	ENSG00000248333
728661	SLC35E2B	ENSG00000189339
8511	MMP23A	ENSG00000215914
728642	CDK11A	ENSG00000008128
65220	NADK	ENSG00000008130
2782	GNB1	ENSG00000078369
105378949	GNB1-DT	ENSG00000231050
163688	CALML6	ENSG00000169885
339456	TMEM52	ENSG00000178821
85452	CFAP74	ENSG00000142609
2563	GABRD	ENSG00000187730
105378591	PRKCZ-DT	ENSG00000226969
5590	PRKCZ	ENSG00000067606
100506504	PRKCZ-AS1	ENSG00000182873
199990	FAAP20	ENSG00000162585
6497	SKI	ENSG00000157933
79906	MORN1	ENSG00000116151
100129534	LOC100129534	ENSG00000269896
11079	RER1	ENSG00000157916
5192	PEX10	ENSG00000157911
9651	PLCH2	ENSG00000149527
55229	PANK4	ENSG00000157881
388585	HES5	ENSG00000197921
8764	TNFRSF14	ENSG00000157873
100996583	LOC100996583	ENSG00000228037
127281	PRXL2B	ENSG00000157870
79258	MMEL1	ENSG00000142606
100287898	TTC34	ENSG00000215912
140625	ACTRT2	ENSG00000169717
440556	PRDM16-DT	ENSG00000177133
63976	PRDM16	ENSG00000142611
100422968	MIR4251	ENSG00000283572
27237	ARHGEF16	ENSG00000130762
1953	MEGF6	ENSG00000162591
693135	MIR551A	ENSG00000207776
127262	TPRG1L	ENSG00000158109
49856	WRAP73	ENSG00000116213
7161	TP73	ENSG00000078900
57212	TP73-AS1	ENSG00000227372
148870	CCDC27	ENSG00000162592
388588	SMIM1	ENSG00000235169
57470	LRRC47	ENSG00000130764
9731	CEP104	ENSG00000116198
1677	DFFB	ENSG00000169598
339448	C1orf174	ENSG00000198912
100133612	LINC01134	ENSG00000236423
105376672	LINC01345	ENSG00000226374
284661	LINC01777	ENSG00000235054
105376679	LINC01646	ENSG00000232596
55966	AJAP1	ENSG00000196581
105376680	LINC02781	ENSG00000284674
100616421	MIR4689	ENSG00000264101
261734	NPHP4	ENSG00000131697
8514	KCNAB2	ENSG00000069424
26038	CHD5	ENSG00000116254
6146	RPL22	ENSG00000116251
102724450	RNF207-AS1	ENSG00000226944
388591	RNF207	ENSG00000158286
23463	ICMT	ENSG00000116237
390992	HES3	ENSG00000173673
387509	GPR153	ENSG00000158292
11332	ACOT7	ENSG00000097021
54626	HES2	ENSG00000069812
83715	ESPN	ENSG00000187017
100422975	MIR4252	ENSG00000265392
8718	TNFRSF25	ENSG00000215788
57449	PLEKHG5	ENSG00000171680
79707	NOL9	ENSG00000162408
80835	TAS1R1	ENSG00000173662
3104	ZBTB48	ENSG00000204859
9903	KLHL21	ENSG00000162413
148479	PHF13	ENSG00000116273
90326	THAP3	ENSG00000041988
55735	DNAJC11	ENSG00000007923
23261	CAMTA1	ENSG00000171735
102725193	CAMTA1-AS2	ENSG00000237728
9341	VAMP3	ENSG00000049245
8863	PER3	ENSG00000049246
10911	UTS2	ENSG00000049247
3604	TNFRSF9	ENSG00000049249
11315	PARK7	ENSG00000116288
54206	ERRFI1	ENSG00000116285
102724539	LINC01714	ENSG00000227634
50651	SLC45A1	ENSG00000162426
473	RERE	ENSG00000142599
2023	ENO1	ENSG00000074800
102465436	MIR6728	ENSG00000274258
100505975	ENO1-AS1	ENSG00000230679
765	CA6	ENSG00000131686
155184	SLC2A7	ENSG00000197241
6518	SLC2A5	ENSG00000142583
80045	GPR157	ENSG00000180758
106614088	MIR34AHG	ENSG00000228526
407040	MIR34A	ENSG00000284357
102724571	LNCTAM34A	ENSG00000234546
9563	H6PD	ENSG00000049239
80176	SPSB1	ENSG00000171621
100506022	LINC02606	ENSG00000284693
84275	SLC25A33	ENSG00000171612
199953	TMEM201	ENSG00000188807
5293	PIK3CD	ENSG00000171608
644997	PIK3CD-AS1	ENSG00000179840
101929074	PIK3CD-AS2	ENSG00000231789
22883	CLSTN1	ENSG00000171603
56998	CTNNBIP1	ENSG00000178585
84328	LZIC	ENSG00000162441
64802	NMNAT1	ENSG00000173614
113391335	TMEM274P	ENSG00000283611
100847055	MIR5697	ENSG00000265521
